,0,1,2,3,4,5
241,2019-10-14,KBANK,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"517,148,180",147.50,21.61
242,2019-10-14,KBANK,STATE STREET EUROPE LIMITED,"205,664,918",147.50,8.59
243,2019-10-14,KBANK,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"140,753,059",147.50,5.88
244,2019-10-14,KBANK,STATE STREET BANK AND TRUST COMPANY,"84,795,058",147.50,3.54
245,2019-10-14,KBANK,สำนักงานประกันสังคม,"69,043,300",147.50,2.88
246,2019-10-14,KBANK,BNY MELLON NOMINEES LIMITED,"58,437,157",147.50,2.44
247,2019-10-14,KBANK,THE BANK OF NEW YORK MELLON,"50,780,228",147.50,2.12
248,2019-10-14,KBANK,GIC PRIVATE LIMITED,"44,720,900",147.50,1.87
249,2019-10-14,KBANK,SOUTH EAST ASIA UK (TYPE A) NOMINEES LIMITED,"38,996,948",147.50,1.63
250,2019-10-14,KBANK,THE BANK OF NEW YORK (NOMINEES) LIMITED,"30,797,300",147.50,1.29
251,2019-10-14,KKP,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"91,692,551",64.50,10.83
252,2019-10-14,KKP,น.ส. ฐิตินันท์ วัธนเวคิน,"35,532,761",64.50,4.20
253,2019-10-14,KKP,บริษัท  น้ำตาลตะวันออก จำกัด,"35,000,804",64.50,4.13
254,2019-10-14,KKP,บริษัท  โรงพยาบาลรามคำแหง จำกัด (มหาชน),"34,867,143",64.50,4.12
255,2019-10-14,KKP,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"29,737,295",64.50,3.51
256,2019-10-14,KKP,นาง วรรณสมร วรรณเมธี,"25,212,703",64.50,2.98
257,2019-10-14,KKP,บริษัท  โชติธนวัฒน์ จำกัด,"20,693,600",64.50,2.44
